created_at,favorite_count,id,in_reply_to_status_id,in_reply_to_user_id,retweet_count,retweeted,text,truncated,user.id,user.screen_name
Tue Jun 19 09:55:22 +0000 2018,1,1009011750811860993,,,0,False,A readable copy of this brilliant poster #HLG2018 https://t.co/FxVFie3bme,False,2176370876,LibrariandyW
Tue Jun 19 09:25:01 +0000 2018,0,1009004112493645824,,,14,False,RT @LeicPatientLib: Results of national clinical librarian impact study - Nearly 80% of respondents perceived a positive impact on patient…,False,3577841477,BHRUT_Libraries
Tue Jun 19 09:18:26 +0000 2018,0,1009002454153875460,,,3,False,RT @JamesPjcjames: #HLG2018 Derby Clinical Librarians in the programme- team working @DerbyHospitals @DerbyRenalTeam @DHFTLibrary @Lifuinth…,False,1657350067,DHFTLibrary
Tue Jun 19 09:17:23 +0000 2018,0,1009002191397572608,,,1,False,RT @loftytofty: My first conference poster! #HLG2018 @DHFTLibrary https://t.co/szy2Y1aps8,False,1657350067,DHFTLibrary
Tue Jun 19 09:16:57 +0000 2018,0,1009002083792584704,,,1,False,RT @JamesPjcjames: Derby Clinical Librarians are at Day 2 #HLG2018 @DerbyHospitals @DHFTLibrary,False,1657350067,DHFTLibrary
Tue Jun 19 09:16:47 +0000 2018,0,1009002039442067457,,,14,False,RT @LeicPatientLib: Results of national clinical librarian impact study - Nearly 80% of respondents perceived a positive impact on patient…,False,1657350067,DHFTLibrary
Tue Jun 19 09:16:39 +0000 2018,0,1009002006449676288,,,4,False,RT @LeicPatientLib: National Clinical Librarian Impact study @JamesPjcjames @DHFTLibrary &amp; @pipdivall from @UHLCL #HLG2018 https://t.co/lrU…,False,1657350067,DHFTLibrary
Tue Jun 19 09:16:32 +0000 2018,0,1009001976837869569,,,2,False,RT @Lifuinthelib: Great work! Fab results! @JamesPcjamed @pipdivall #HLG2018 @DHFTLibrary https://t.co/7zxaBiJWFK,False,1657350067,DHFTLibrary
Tue Jun 19 09:15:37 +0000 2018,0,1009001747765977088,,,1,False,"RT @JamesPjcjames: Our lovely Clinical Librarian, Lisa and her poster @Lifuinthelib @DHFTLibrary @DerbyHospitals #hlg2018 https://t.co/sASb…",False,1657350067,DHFTLibrary
Tue Jun 19 08:26:24 +0000 2018,0,1008989361692692480,,,1,False,RT @RuthCarlyle: Innovation case studies are getting stronger: perspective of @MariaJGrant on judging Sally Hernando Innovation Awards #HLG…,False,61531474,RBHT_Library
Tue Jun 19 08:24:37 +0000 2018,0,1008988913719967746,,,15,False,RT @NickPoole1: Interesting discussion at #HLG2018 about the possibility of a large-scale cross-sector collaboration involving #librarians…,False,61531474,RBHT_Library
Tue Jun 19 08:23:56 +0000 2018,0,1008988738867916800,,,5,False,RT @samanthaclare: hospital librarians have an awareness that clinicians do amazing things because every clinical innovation put into place…,False,61531474,RBHT_Library
Tue Jun 19 08:23:47 +0000 2018,3,1008988703992270850,,,0,False,The only way to influence and improve health literacy is by libraries from all sectors working together and have gr… https://t.co/KjEG48NANk,True,2361332432,DeenaMaggs
Tue Jun 19 08:23:25 +0000 2018,0,1008988608555085825,,,1,False,RT @GEHLibrary: Listening to Samantha Unambowee on innovation database at Royal Brompton &amp; Harefield #HLG2018,False,61531474,RBHT_Library
Tue Jun 19 08:00:18 +0000 2018,0,1008982794486386689,,,15,False,RT @NickPoole1: Interesting discussion at #HLG2018 about the possibility of a large-scale cross-sector collaboration involving #librarians…,False,3971129247,K4H_PPI
Tue Jun 19 07:01:13 +0000 2018,0,1008967925615742976,,,1,False,"RT @Librarianpocket: Great idea for #hlg2018, #eahil2018 and #CILIPConf18 poster presenters! @CILIPHLG @CILIPEvents https://t.co/DGl79WYbsm",False,479349789,RuthCarlyle
Tue Jun 19 06:49:27 +0000 2018,0,1008964964764307456,,,3,False,"RT @RuthCarlyle: Keen to update your professional reading in health librarianship, or to broaden your understanding of health information f…",False,138738742,CILIPKIM
Tue Jun 19 06:00:52 +0000 2018,0,1008952735310471168,,,2,False,"RT @misterjta: Hit the inevitable slump after #HLG2018 - so many interesting ideas to explore; so many unread emails to plough through! 

O…",False,479349789,RuthCarlyle
Tue Jun 19 01:38:00 +0000 2018,0,1008886584668753920,,,15,False,RT @NickPoole1: Interesting discussion at #HLG2018 about the possibility of a large-scale cross-sector collaboration involving #librarians…,False,565488654,stateoflibraria
Mon Jun 18 20:54:27 +0000 2018,0,1008815227855605766,,,3,False,"RT @RuthCarlyle: Keen to update your professional reading in health librarianship, or to broaden your understanding of health information f…",False,39965462,cmmclaren
Mon Jun 18 17:12:42 +0000 2018,0,1008759419893624832,,,2,False,RT @HILJnl: Details of the 2018 Sally Hernando Innovation Awards: Entries were assessed by panels of judges from health library services ac…,False,376410212,CILIPHLG
Mon Jun 18 17:08:18 +0000 2018,0,1008758314031775744,,,2,False,RT @HILJnl: Details of the 2018 Sally Hernando Innovation Awards: Entries were assessed by panels of judges from health library services ac…,False,52868515,MariaJGrant
Mon Jun 18 17:08:03 +0000 2018,0,1008758248986611717,,,3,False,"RT @RuthCarlyle: Keen to update your professional reading in health librarianship, or to broaden your understanding of health information f…",False,452252278,HILJnl
Mon Jun 18 17:07:50 +0000 2018,2,1008758195198812160,,,2,False,Details of the 2018 Sally Hernando Innovation Awards: Entries were assessed by panels of judges from health library… https://t.co/exGUMHFyL8,True,452252278,HILJnl
Mon Jun 18 16:51:28 +0000 2018,8,1008754077063438336,,,3,False,"Keen to update your professional reading in health librarianship, or to broaden your understanding of health inform… https://t.co/KlZGvAGzbE",True,479349789,RuthCarlyle
Mon Jun 18 16:33:18 +0000 2018,0,1008749506601644034,,,1,False,"RT @UKMedLibs: This time tomorrow we’ll be two hour and a half hours away from the start of our chat on #HIW2018, as featured at #HLG2018 Q…",False,19901701,samanthaclare
Mon Jun 18 16:31:35 +0000 2018,1,1008749072503787521,,,1,False,"This time tomorrow we’ll be two hour and a half hours away from the start of our chat on #HIW2018, as featured at… https://t.co/G4btyP8foK",True,3097479712,UKMedLibs
Mon Jun 18 16:10:54 +0000 2018,0,1008743867653517312,,,1,False,RT @LibrariandyW: Loving my new @CILIPHLG #HLG2018 hydration delivery system back at @WFlibraries #LoveLibraries #iamalibrarian https://t.c…,False,376410212,CILIPHLG
Mon Jun 18 15:54:02 +0000 2018,0,1008739625672888322,,,5,False,RT @Librarianpocket: And if you produce your own evidence summaries on general topics we’d love to host them on MAP @Map_community for shar…,False,545164187,librarian_jason
Mon Jun 18 15:15:45 +0000 2018,13,1008729988286345216,,,1,False,Loving my new @CILIPHLG #HLG2018 hydration delivery system back at @WFlibraries #LoveLibraries #iamalibrarian https://t.co/TzFzO2DQd8,False,2176370876,LibrariandyW
Mon Jun 18 14:29:14 +0000 2018,0,1008718285104467970,,232482387,0,False,@Librarian17 with her Lib Guides poster #HLG2018 https://t.co/P19HL5OGJu,False,2474129222,musgrovesompar
Mon Jun 18 14:24:24 +0000 2018,4,1008717068219375616,,,0,False,Me trying to create a cohesive picture of all the things I learnt at #HLG2018 last week https://t.co/aYojhWiQpU,False,297472962,Lady_PGD
Mon Jun 18 14:22:43 +0000 2018,0,1008716643000881152,,,11,False,"RT @NickPoole1: When we devised #AMillionDecisions, the @NHSEngland were supporting 1m evidence-based decisions every 36 hours. Now it is t…",False,240720547,WarnerLibMEHT
Mon Jun 18 14:19:57 +0000 2018,0,1008715947732033536,,,4,False,RT @MariaJGrant: Bitesize/20 minute eLearning module on “How to Search the Literature Effectively” available from @NHS_HealthEdEng @K4Healt…,False,596379851,Librarianpocket
Mon Jun 18 13:20:03 +0000 2018,0,1008700870958223360,,,2,False,"RT @archelina: Slides on peer review of literature searching by me and @iroberger, presented at #hlg2018, are online here: https://t.co/ICW…",False,32023,tomroper
Mon Jun 18 13:17:55 +0000 2018,2,1008700335647535104,1008377708521443329,432313593,0,False,"@TraceyPratchett @Librarianpocket @samanthaclare Thank you, this is useful :-) #HLG2018",False,349763515,LindsaySnell
Mon Jun 18 13:06:50 +0000 2018,0,1008697547362365440,,,1,False,RT @Lady_PGD: Enroute to Keele for #HLG2018 Got a lovely train picnic to keep me going https://t.co/jlYXMayj4b,False,714526459503722498,puffclub
Mon Jun 18 12:57:06 +0000 2018,0,1008695097284878338,,,1,False,"RT @steeslib: ""I am WINNER!""🥇
Well done Roddy, libraries can help you achieve many goals. @SouthTees @SouthTeesLRI #HLG2018 @CILIPHLG @HCLU…",False,989776430098714624,CarolMc47074076
Mon Jun 18 12:38:07 +0000 2018,0,1008690321738354689,,,3,False,RT @mintyminns: @HeatherBake @CILIPHLG @roxannehartq My team have also recently moved to the Quality department -we are the evidence team w…,False,376410212,CILIPHLG
Mon Jun 18 12:37:53 +0000 2018,0,1008690263051644928,,,1,False,RT @pcann_LIS: Back in the office after an invigorating #HLG2018. Reflections written - to hopefully appear on the HLG website before too l…,False,376410212,CILIPHLG
Mon Jun 18 12:04:56 +0000 2018,3,1008681967766917120,,,1,False,"Great idea for #hlg2018, #eahil2018 and #CILIPConf18 poster presenters! @CILIPHLG @CILIPEvents https://t.co/DGl79WYbsm",False,596379851,Librarianpocket
Mon Jun 18 10:51:09 +0000 2018,0,1008663399478243328,,,2,False,"RT @misterjta: Hit the inevitable slump after #HLG2018 - so many interesting ideas to explore; so many unread emails to plough through! 

O…",False,3346282761,librareon
Mon Jun 18 10:43:53 +0000 2018,9,1008661572925952000,,,2,False,Hit the inevitable slump after #HLG2018 - so many interesting ideas to explore; so many unread emails to plough thr… https://t.co/4WI9fWNSrN,True,541973752,misterjta
Mon Jun 18 10:24:56 +0000 2018,2,1008656804958621697,,,0,False,Sorted all the emails I received at the end of last week whilst I was at #HLG2018 https://t.co/EMiF6dRjxx,False,297472962,Lady_PGD
Mon Jun 18 10:23:39 +0000 2018,0,1008656481938558976,,,3,False,RT @aoifemsligo: En route home with a bagful of ideas from the fantastic #HLG2018 conference. Honoured to have received the inaugural @HILJ…,False,91091568,McKeownLibrary
Mon Jun 18 10:19:45 +0000 2018,1,1008655500198731776,,,0,False,Delighted to be adding an @FocusGames boardgame to our Nurse education collection after #HLG2018 https://t.co/z335vdl9hH,False,91091568,McKeownLibrary
Mon Jun 18 10:03:33 +0000 2018,0,1008651421766553600,,376410212,0,False,@CILIPHLG Just completed by #HLG2018 feedback form to find fields have 200 character limit!!! No warning. Wasting l… https://t.co/euz28LRyoT,True,21648931,StuartGlover
Mon Jun 18 09:54:23 +0000 2018,0,1008649116866490368,,,15,False,RT @NickPoole1: Interesting discussion at #HLG2018 about the possibility of a large-scale cross-sector collaboration involving #librarians…,False,4338384203,steeslib
Mon Jun 18 09:37:53 +0000 2018,10,1008644962395807744,,,1,False,"""I am WINNER!""🥇
Well done Roddy, libraries can help you achieve many goals. @SouthTees @SouthTeesLRI #HLG2018… https://t.co/ZQUr2QRW1x",True,4338384203,steeslib
Mon Jun 18 09:29:28 +0000 2018,0,1008642843697713152,,,2,False,"RT @archelina: Slides on peer review of literature searching by me and @iroberger, presented at #hlg2018, are online here: https://t.co/ICW…",False,54335361,iroberger
Mon Jun 18 09:28:11 +0000 2018,7,1008642522845982720,,,2,False,"Slides on peer review of literature searching by me and @iroberger, presented at #hlg2018, are online here: https://t.co/ICWfRdRrrg",False,27624938,archelina
Mon Jun 18 09:27:58 +0000 2018,0,1008642468563374080,,,1,False,"RT @KSRInfoTeam: @archelina identified areas for improvement: appropriate sources, writing search summaries (methods?), filters and concept…",False,54335361,iroberger
Mon Jun 18 09:15:33 +0000 2018,0,1008639342493958144,,,4,False,RT @helse28: Brilliant session by Katy Oak &amp; Catriona Organ. Creating a mini RCT on the question 'Does caffeine increase the heart rate of…,False,800153504,HSnewsinfo
Mon Jun 18 09:15:03 +0000 2018,0,1008639215213731840,,,1,False,RT @Lynnebrarian: How do you organise essential skills for a Clinical Librarian? You decorate a tree! #HLG2018 https://t.co/WgWNMtS7SW,False,800153504,HSnewsinfo
Mon Jun 18 09:15:01 +0000 2018,3,1008639208246956032,,,0,False,So nice to come back to the library after #HLG2018 and see more wonderful comments on our graffiti board! ⁦… https://t.co/k2Ph0g8mYI,True,18304551,Katonite
Mon Jun 18 09:03:24 +0000 2018,0,1008636286649950208,,,2,False,RT @yiwen_h: #HLG2018 Brammer(?) Says that with machine learning a thorough systematic review search strategy can be done in as little 2 ho…,False,44663631,nschaetti
Mon Jun 18 08:45:04 +0000 2018,0,1008631670256427013,,,7,False,RT @TraceyPratchett: Here are the notes from our fishbowl conversation about the barriers to collecting impact and sharing impact in librar…,False,21995283,AngleD25
Mon Jun 18 08:37:56 +0000 2018,7,1008629877401104386,,,1,False,Back in the office after an invigorating #HLG2018. Reflections written - to hopefully appear on the HLG website bef… https://t.co/vGtcEHRkmG,True,2539897178,pcann_LIS
Mon Jun 18 08:35:16 +0000 2018,0,1008629202755735552,,,14,False,RT @LeicPatientLib: Results of national clinical librarian impact study - Nearly 80% of respondents perceived a positive impact on patient…,False,2829175930,LCFTLibrarian
Mon Jun 18 08:06:41 +0000 2018,0,1008622011978051584,,,14,False,RT @LeicPatientLib: Results of national clinical librarian impact study - Nearly 80% of respondents perceived a positive impact on patient…,False,764028028959588356,nlaglibs
Mon Jun 18 08:06:31 +0000 2018,0,1008621969099681792,,,4,False,RT @uhllib: Poster 14 at #hlg2018 is on the @UHLCL Writing Club. Health Librarians at the conference should have a look and take a leaflet.…,False,2394660775,UHLCL
Mon Jun 18 08:06:09 +0000 2018,0,1008621875554025472,,,14,False,RT @LeicPatientLib: Results of national clinical librarian impact study - Nearly 80% of respondents perceived a positive impact on patient…,False,2394660775,UHLCL
