id,retweeted_status.created_at,retweeted_status.favorite_count,retweeted_status.id,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_user_id,retweeted_status.retweet_count,retweeted_status.text,retweeted_status.truncated,retweeted_status.user.id
1126214069579595776,Wed May 08 16:26:19 +0000 2019,7,1126161416065515520,,,3,"""Who's on the (health care) team and why don't we ever mention the patient as a team member?"" - Katie Watson 🙌🙌🙌 #mlanet19",False,14286724
1126214005603827712,Wed May 08 16:42:51 +0000 2019,7,1126165578211717120,,,3,"#mlanet19 has included references and/or performances of Rent, Cabaret, Auntie Mame, and My Fair Lady, and I LOVE it! 🎶",False,14286724
1126213356443009037,Tue May 07 20:14:11 +0000 2019,5,1125856373068259328,,,1,Another book for white people to read: “The warmth of other suns” by Isabelle Wilkerson. #mlanet19,False,21484813
1126212091197706240,Wed May 08 14:27:14 +0000 2019,2,1126131447520276481,,,1,"To make change durable and sustainable, it must be coded into policy. To change policy, we must change culture @nadyaokamoto #mlanet19",False,5618162
1126211990085689346,Wed May 08 14:30:37 +0000 2019,0,1126132301522440192,,,1,Maine voted against providing free menstrual products in prisons because it shouldn’t be a country club #mlanet19,False,20427463
1126211699466559490,Wed May 08 14:31:52 +0000 2019,6,1126132612546928641,,,2,"4 tendants for change making. 
If you want to make a change, go for it, ask quesions, respect experience and use th… https://t.co/9XmFAF42ut",True,20427463
1126209239687618561,Wed May 08 14:38:52 +0000 2019,3,1126134374603341824,,,2,All elections should be ranked choice voting #mlanet19,False,14758570
1126209076822716416,Wed May 08 14:41:20 +0000 2019,11,1126134995201024000,,,6,An unfortunate thread in the #mlanet19 plenaries are how often the speakers receive death threats for being who they are.,False,19733088
1126208246614773760,Wed May 08 14:50:40 +0000 2019,0,1126137344732610561,,,0,Generation Z's average attention span = 8 seconds #mlanet19,False,4167450861
1126207183010639872,Wed May 08 16:56:53 +0000 2019,4,1126169108540686341,,,4,We had a really good session on #improv in patient care and medical student education! And medical librarianship.… https://t.co/cnbvyHIBD0,True,3380748339
1126206366698430465,Wed May 08 15:38:54 +0000 2019,3,1126149484461867009,,,2,"The description of a patient being ""bludgeoned with data"" is powerful and scary. #mlanet19",False,14758570
1126199778407272453,Wed May 08 14:51:37 +0000 2019,13,1126137584177111040,,,3,Honestly I think that those levels of self have always existed - we've always behaved differently with our boss tha… https://t.co/NKU85aLakN,True,2466707904
1126199637830975488,Wed May 08 15:03:33 +0000 2019,10,1126140587768537088,,,4,Period tax in your state?  #mlanet19 https://t.co/e2oixeL8eS,False,14870036
1126199320129277964,Wed May 08 14:27:04 +0000 2019,11,1126131406470615044,,,8,More States Move To End 'Tampon Tax' That's Seen As Discriminating Against Women https://t.co/Caav8v16qM #MLAnet19,False,14531881
